Season Number,Netflix TV Duration,Hulu TV Duration,Amazon TV Duration,Disney TV Duration
1,1793.0,829.0,1342.0,219.0
2,425.0,265.0,229.0,82.0
3,199.0,121.0,110.0,45.0
4,95.0,99.0,62.0,24.0
5,65.0,80.0,39.0,11.0
6,33.0,56.0,23.0,3.0
7,23.0,46.0,15.0,5.0
8,17.0,20.0,10.0,2.0
9,9.0,17.0,6.0,2.0
10,7.0,10.0,5.0,2.0
11,2.0,13.0,3.0,
12,2.0,8.0,3.0,
13,3.0,3.0,,
14,,3.0,3.0,
15,2.0,2.0,1.0,
16,,3.0,,1.0
17,1.0,2.0,,
19,,1.0,1.0,1.0
20,,1.0,,
21,,,1.0,
22,,2.0,,
23,,2.0,,
25,,1.0,,
26,,1.0,,
29,,2.0,1.0,
30,,1.0,,
32,,,,1.0
34,,1.0,,
